T 106.9  23.2 1.3
T 107.8  24.1 1.3
T 108.6  25.1 1.3
T 109.5  26.1 1.3
T 110.3  27.1 1.3
T 111.2  28.1 1.3
T 112.1  29.0 1.3
T 113.1  30.0 1.3
T 114.0  30.9 1.3
T 115.0  31.9 1.3
T 116.0  32.8 1.3
T 117.0  33.7 1.3
V 118.0  34.6 5
V 119.0  35.6 0.5
V 120.1  36.5 10.0
V 121.2  37.3 7.75
V 122.3  38.2 3.9
V 123.5  39.1 1.25
V 124.7  39.9 5
C 125.9  40.8 3.5
T 127.1  41.6 1.3
C 128.4  42.4 3.5
T 129.7  43.3 1.3
C 131.0  44.0 3.5
T 132.4  44.8 1.3
C 146.6  31.3 3.5
T 345    44.8 1.3
T 344    12.5 1.3


